distance_km,duration_min,time_of_day,traffic_level,weather,demand_level,ride_price
11.86,61,Night,Low,Rainy,High,388.65
28.57,54,Afternoon,High,Rainy,Low,615.06
22.23,27,Night,Low,Clear,Low,452.38
18.36,35,Evening,High,Clear,Medium,417.21
5.52,46,Morning,,Clear,Medium,232.84
5.52,11,Afternoon,Low,Clear,Medium,153.23
2.68,20,Morning,Medium,Clear,Low,141.0
26.12,64,Morning,Medium,Clear,High,576.35
18.43,6,Afternoon,High,Rainy,Low,358.28
21.53,5,Night,Medium,Rainy,Medium,413.12
1.6,52,Morning,High,Clear,High,215.01
29.13,16,Evening,Medium,Clear,High,557.3
25.14,73,Morning,Low,Clear,Low,573.11
7.16,41,Afternoon,High,Clear,Medium,260.98
6.27,36,Afternoon,High,Clear,Low,229.27
6.32,13,Afternoon,Low,Rainy,High,207.29
9.82,23,Night,High,Clear,Low,270.47
16.22,52,Morning,High,Rainy,Low,434.04
13.53,84,Night,Medium,Rainy,Medium,444.8
9.45,7,Night,High,Clear,Medium,242.3
18.74,24,Afternoon,Low,,High,439.8
5.05,28,Afternoon,Medium,Clear,Low,170.68
9.47,58,Night,Medium,Clear,Low,336.94
11.62,37,Morning,Low,Clear,Low,271.71
14.23,28,Evening,Low,Rainy,High,348.67
23.77,79,Night,Medium,,High,592.14
6.79,76,Morning,High,Rainy,Medium,322.07
15.91,40,Afternoon,Medium,Rainy,Medium,380.69
18.18,42,Afternoon,Low,Clear,Medium,409.6
2.35,88,Morning,Medium,Rainy,Low,268.7
18.62,29,Evening,Low,Clear,Low,400.8
5.95,22,Afternoon,Medium,Clear,Medium,188.53
2.89,86,Afternoon,High,Clear,Low,293.68
28.52,70,Afternoon,Medium,Clear,Medium,604.53
29.0,58,Morning,,Rainy,High,632.38
24.44,39,Night,,Clear,Medium,508.9
9.83,84,Afternoon,Low,Clear,High,395.3
3.83,65,Night,Low,Rainy,Low,254.72
20.84,45,Evening,Medium,Clear,Medium,466.71
13.76,37,Afternoon,High,Clear,Low,350.7
4.54,72,Afternoon,Low,Clear,High,280.06
15.36,37,Evening,Low,Rainy,High,397.12
2.0,18,Afternoon,Medium,Clear,High,141.99
27.37,25,Night,Low,Rainy,Low,534.25
8.5,52,Morning,High,Rainy,Low,316.5
20.21,24,Night,High,Clear,Low,425.62
10.04,12,Morning,Low,Clear,Low,221.09
16.08,11,Morning,Low,Clear,High,335.91
16.85,71,Night,Medium,,High,492.89
6.36,21,Night,High,Clear,Medium,213.0
29.12,37,Night,High,Clear,Medium,598.15
