text,label
Health ministry expands vaccination program nationwide.,0
Researchers find evidence of dragons living in mountains.,1
Education ministry announces scholarship opportunities for students.,0
New environmental law aims to reduce industrial pollution.,0
Secret lab develops invisible soldiers for future wars.,1
New environmental law aims to reduce industrial pollution.,0
Ancient civilization on Mars found by amateur astronomer.,1
University launches new artificial intelligence research center.,0
New public transportation line opens in the capital city.,0
Underground city discovered beneath major world capital.,1
Local farmers increase crop production after improved irrigation.,0
Scientists publish study on climate change impacts.,0
Global markets respond positively to economic growth data.,0
Researchers discover new method to recycle plastic waste.,0
New environmental law aims to reduce industrial pollution.,0
Local farmers increase crop production after improved irrigation.,0
Government hiding technology that controls the weather.,1
Technology company releases updated cybersecurity tools.,0
Technology company releases updated cybersecurity tools.,0
Education ministry announces scholarship opportunities for students.,0
Scientists prove teleportation already used by military.,1
Aliens secretly running several world governments.,1
Local farmers increase crop production after improved irrigation.,0
New public transportation line opens in the capital city.,0
International trade agreement boosts regional exports.,0
Researchers discover new method to recycle plastic waste.,0
Government hiding technology that controls the weather.,1
New environmental law aims to reduce industrial pollution.,0
Local farmers increase crop production after improved irrigation.,0
Aliens secretly running several world governments.,1
Aliens secretly running several world governments.,1
Researchers find evidence of dragons living in mountains.,1
Engineers complete construction of major hydroelectric dam.,0
Engineers complete construction of major hydroelectric dam.,0
Ancient civilization on Mars found by amateur astronomer.,1
Machine built that reads people's thoughts from distance.,1
Health ministry expands vaccination program nationwide.,0
Secret lab develops invisible soldiers for future wars.,1
Airline expands routes to additional international cities.,0
Machine built that reads people's thoughts from distance.,1
Airline expands routes to additional international cities.,0
Technology company releases updated cybersecurity tools.,0
Scientists report progress in renewable energy storage.,0
Medical team develops improved diagnostic testing method.,0
Education ministry announces scholarship opportunities for students.,0
Time travelers regularly visiting major historical events.,1
New startup introduces affordable solar panel systems.,0
Scientists confirm humans can live without sleep for months.,1
Scientists report progress in renewable energy storage.,0
Aliens secretly running several world governments.,1
Scientists publish study on climate change impacts.,0
New public transportation line opens in the capital city.,0
New environmental law aims to reduce industrial pollution.,0
Ancient civilization on Mars found by amateur astronomer.,1
Space agency schedules launch of new weather satellite.,0
International trade agreement boosts regional exports.,0
Airline expands routes to additional international cities.,0
Scientists report progress in renewable energy storage.,0
Health ministry expands vaccination program nationwide.,0
Scientists publish study on climate change impacts.,0
University launches new artificial intelligence research center.,0
Scientists clone dinosaurs for private zoo experiment.,1
Health ministry expands vaccination program nationwide.,0
Scientists report progress in renewable energy storage.,0
Global markets respond positively to economic growth data.,0
Underground city discovered beneath major world capital.,1
Airline expands routes to additional international cities.,0
Technology company releases updated cybersecurity tools.,0
Scientists prove teleportation already used by military.,1
Ocean monsters captured on deep sea exploration video.,1
Global markets respond positively to economic growth data.,0
Scientists publish study on climate change impacts.,0
Machine built that reads people's thoughts from distance.,1
Engineers complete construction of major hydroelectric dam.,0
Time travelers regularly visiting major historical events.,1
Secret island where people stop aging discovered.,1
Local government begins urban green park project.,0
Medical team develops improved diagnostic testing method.,0
Technology company releases updated cybersecurity tools.,0
Government hiding technology that controls the weather.,1
Secret island where people stop aging discovered.,1
Researchers find evidence of dragons living in mountains.,1
Global markets respond positively to economic growth data.,0
Government approves new infrastructure development plan.,0
Time travelers regularly visiting major historical events.,1
Local farmers increase crop production after improved irrigation.,0
Ocean monsters captured on deep sea exploration video.,1
Technology company releases updated cybersecurity tools.,0
Researchers find evidence of dragons living in mountains.,1
Government approves new infrastructure development plan.,0
Hidden portal to another dimension discovered in desert.,1
Aliens secretly running several world governments.,1
Scientists clone dinosaurs for private zoo experiment.,1
Ocean monsters captured on deep sea exploration video.,1
Underground city discovered beneath major world capital.,1
Scientists publish study on climate change impacts.,0
Engineers complete construction of major hydroelectric dam.,0
Hidden portal to another dimension discovered in desert.,1
Hidden portal to another dimension discovered in desert.,1
Ancient civilization on Mars found by amateur astronomer.,1
